k,itr,nb,nd,heap_factor,mqt,msb,md,Avg_Cluster_Size,Median_Cluster_Size,Avg_Cluster_Similarity,Avg_Blocks_Entered,Avg_Blocks_Skipped,Avg_Docs_Examined,Avg_Docs_Popped,Clustering_Time_s,Indexing_Time_s,Recall@30,Avg_Time_Per_Query_ms,Search_Time_s,Total_Time_s
1000,3,750,75,0.05,1200,150,100000,2681.47,2508,4.75349,1959.45,0.000869061,99916,155.426,1787.99,211.089,0.934776,54.6897,188.789,2187.86
1000,3,100,750,0.05,0,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.8071,175.386,2166.2
1000,3,100,750,0.05,10,150,100000,2681.47,2529,4.75336,481.311,0,99924.9,162.417,1794.5,196.319,0.904043,50.3337,173.752,2164.57
1000,3,100,750,0.05,20,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.4284,174.079,2164.9
1000,3,100,750,0.05,30,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5319,174.436,2165.25
1000,3,100,750,0.05,40,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5452,174.482,2165.3
1000,3,100,750,0.05,50,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5156,174.38,2165.2
1000,3,100,750,0.05,60,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5469,174.488,2165.3
1000,3,100,750,0.05,70,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.7016,175.022,2165.84
1000,3,100,750,0.05,80,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5753,174.586,2165.4
1000,3,100,750,0.05,90,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.4986,174.321,2165.14
1000,3,100,750,0.05,100,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.4875,174.283,2165.1
1000,3,100,750,0.05,150,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.4887,174.287,2165.1
1000,3,100,750,0.05,200,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.551,174.502,2165.32
1000,3,100,750,0.05,300,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5414,174.469,2165.29
1000,3,100,750,0.05,500,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.5542,174.513,2165.33
1000,3,100,750,0.05,800,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.4826,174.266,2165.08
1000,3,100,750,0.05,1200,150,100000,2681.47,2529,4.75336,481.809,0,100000,162.418,1794.5,196.319,0.904052,50.6338,174.788,2165.61
1500,3,500,400,0.05,0,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.6845,178.415,3836.16
1500,3,500,400,0.05,10,150,100000,1787.65,1611,4.90489,772.924,0,99915.2,161.968,3428.07,229.667,0.927757,51.1671,176.629,3834.37
1500,3,500,400,0.05,20,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.2894,177.051,3834.79
1500,3,500,400,0.05,30,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3986,177.428,3835.17
1500,3,500,400,0.05,40,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3268,177.18,3834.92
1500,3,500,400,0.05,50,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.1738,176.652,3834.39
1500,3,500,400,0.05,60,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.4548,177.622,3835.36
1500,3,500,400,0.05,70,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3722,177.337,3835.08
1500,3,500,400,0.05,80,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3204,177.158,3834.9
1500,3,500,400,0.05,90,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.2207,176.814,3834.55
1500,3,500,400,0.05,100,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.2659,176.97,3834.71
1500,3,500,400,0.05,150,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3395,177.224,3834.97
1500,3,500,400,0.05,200,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.3754,177.348,3835.09
1500,3,500,400,0.05,300,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.0281,176.149,3833.89
1500,3,500,400,0.05,500,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.1874,176.699,3834.44
1500,3,500,400,0.05,800,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.1753,176.657,3834.4
1500,3,500,400,0.05,1200,150,100000,1787.65,1611,4.90489,773.782,0,100000,161.968,3428.07,229.667,0.927767,51.2352,176.864,3834.61
1500,3,750,75,0.05,0,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,55.0333,189.975,3873.53
1500,3,750,75,0.05,10,150,100000,1787.65,1631,4.9159,1499.78,0.000289687,72905.7,152.098,3455.91,227.637,0.909419,39.3685,135.9,3819.45
1500,3,750,75,0.05,20,150,100000,1787.65,1631,4.9159,2057.8,0.00115875,99808.3,152.711,3455.91,227.637,0.924888,54.1318,186.863,3870.41
1500,3,750,75,0.05,30,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.2019,187.105,3870.66
1500,3,750,75,0.05,40,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.2147,187.149,3870.7
1500,3,750,75,0.05,50,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.4264,187.88,3871.43
1500,3,750,75,0.05,60,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.0408,186.549,3870.1
1500,3,750,75,0.05,70,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.1553,186.944,3870.5
1500,3,750,75,0.05,80,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.1419,186.898,3870.45
1500,3,750,75,0.05,90,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.0643,186.63,3870.18
1500,3,750,75,0.05,100,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.0437,186.559,3870.11
1500,3,750,75,0.05,150,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.2303,187.203,3870.76
1500,3,750,75,0.05,200,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.226,187.188,3870.74
1500,3,750,75,0.05,300,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,54.4852,188.083,3871.64
1500,3,750,75,0.05,500,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,55.5232,191.666,3875.22
1500,3,750,75,0.05,800,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,55.3998,191.24,3874.79
1500,3,750,75,0.05,1200,150,100000,1787.65,1631,4.9159,2058.79,0.00115875,99840.5,152.711,3455.91,227.637,0.924908,55.6228,192.01,3875.56
1500,3,100,750,0.05,0,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5681,171.109,4149.29
1500,3,100,750,0.05,10,150,100000,1787.65,1656,4.91677,538.401,0,99732.6,160.048,3719.1,259.081,0.899483,49.299,170.18,4148.36
1500,3,100,750,0.05,20,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.2164,169.895,4148.07
1500,3,100,750,0.05,30,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5243,170.958,4149.14
1500,3,100,750,0.05,40,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.9968,172.589,4150.77
1500,3,100,750,0.05,50,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.3833,170.471,4148.65
1500,3,100,750,0.05,60,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.571,171.119,4149.3
1500,3,100,750,0.05,70,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.3013,170.188,4148.36
1500,3,100,750,0.05,80,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5632,171.092,4149.27
1500,3,100,750,0.05,90,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.2717,170.086,4148.26
1500,3,100,750,0.05,100,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5379,171.005,4149.18
1500,3,100,750,0.05,150,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.2958,170.169,4148.35
1500,3,100,750,0.05,200,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.6524,171.4,4149.58
1500,3,100,750,0.05,300,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.2885,170.144,4148.32
1500,3,100,750,0.05,500,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5869,171.174,4149.35
1500,3,100,750,0.05,800,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.2711,170.084,4148.26
1500,3,100,750,0.05,1200,150,100000,1787.65,1656,4.91677,540.616,0,100000,160.051,3719.1,259.081,0.89959,49.5973,171.21,4149.39
500,3,500,400,0.05,0,0,100000,5362.94,5014,4.477,907.441,0,100000,152.297,480.714,185.546,0.838237,53.3696,184.232,850.492
500,3,500,400,0.05,0,10,100000,5362.94,5014,4.477,266.862,0,66242.7,149.372,480.714,185.546,0.671969,34.3694,118.643,784.903
500,3,500,400,0.05,0,20,100000,5362.94,5014,4.477,408.893,0.000289687,96411.1,154.879,480.714,185.546,0.80783,49.8662,172.138,838.398
500,3,500,400,0.05,0,30,100000,5362.94,5014,4.477,439.848,0.000289687,99668,156.269,480.714,185.546,0.861767,51.6025,178.132,844.392
500,3,500,400,0.05,0,40,100000,5362.94,5014,4.477,458.395,0,99950.9,157.098,480.714,185.546,0.890387,51.644,178.275,844.535
500,3,500,400,0.05,0,50,100000,5362.94,5014,4.477,475.068,0,99996.2,157.519,480.714,185.546,0.908298,52.095,179.832,846.092
500,3,500,400,0.05,0,60,100000,5362.94,5014,4.477,490.685,0,100000,157.742,480.714,185.546,0.922252,52.2816,180.476,846.736
500,3,500,400,0.05,0,70,100000,5362.94,5014,4.477,504.392,0,100000,157.967,480.714,185.546,0.931434,52.352,180.719,846.979
500,3,500,400,0.05,0,80,100000,5362.94,5014,4.477,517.104,0,100000,158.166,480.714,185.546,0.939073,52.4279,180.981,847.241
500,3,500,400,0.05,0,90,100000,5362.94,5014,4.477,528.219,0,100000,158.244,480.714,185.546,0.942134,52.491,181.199,847.459
500,3,500,400,0.05,0,100,100000,5362.94,5014,4.477,538.834,0,100000,158.359,480.714,185.546,0.945746,52.2445,180.348,846.608
500,3,500,400,0.05,0,150,100000,5362.94,5014,4.477,587.502,0,100000,158.369,480.714,185.546,0.94738,52.774,182.176,848.436
500,3,500,400,0.05,0,200,100000,5362.94,5014,4.477,630.701,0,100000,157.735,480.714,185.546,0.933678,52.9568,182.807,849.067
500,3,500,400,0.05,0,300,100000,5362.94,5014,4.477,718.11,0,100000,153.393,480.714,185.546,0.859723,53.2147,183.697,849.957
500,3,500,400,0.05,0,500,100000,5362.94,5014,4.477,907.441,0,100000,152.297,480.714,185.546,0.838237,53.5046,184.698,850.958
500,3,500,400,0.05,0,800,100000,5362.94,5014,4.477,907.441,0,100000,152.297,480.714,185.546,0.838237,53.4528,184.519,850.779
500,3,500,400,0.05,0,1200,100000,5362.94,5014,4.477,907.441,0,100000,152.297,480.714,185.546,0.838237,53.4661,184.565,850.825
500,3,750,75,0.05,0,0,100000,5362.94,5089,4.47609,2310.38,0,100000,152.36,490.973,184.978,0.931862,56.7037,195.741,871.692
500,3,750,75,0.05,0,10,100000,5362.94,5089,4.47609,269.988,0,17415.3,127.771,490.973,184.978,0.45363,9.59183,33.111,709.062
500,3,750,75,0.05,0,20,100000,5362.94,5089,4.47609,539.617,0,34065.4,139.325,490.973,184.978,0.638172,18.7306,64.658,740.609
500,3,750,75,0.05,0,30,100000,5362.94,5089,4.47609,808.021,0,50105.2,144.201,490.973,184.978,0.741164,27.4119,94.626,770.577
500,3,750,75,0.05,0,40,100000,5362.94,5089,4.47609,1069.51,0,65233.8,147.024,490.973,184.978,0.806913,35.7561,123.43,799.381
500,3,750,75,0.05,0,50,100000,5362.94,5089,4.47609,1297.08,0,78024.8,148.596,490.973,184.978,0.846588,42.6729,147.307,823.258
500,3,750,75,0.05,0,60,100000,5362.94,5089,4.47609,1469.06,0,87219.1,149.664,490.973,184.978,0.87209,47.8725,165.256,841.207
500,3,750,75,0.05,0,70,100000,5362.94,5089,4.47609,1585.83,0,93116.4,150.263,490.973,184.978,0.890262,50.7303,175.121,851.072
500,3,750,75,0.05,0,80,100000,5362.94,5089,4.47609,1661.33,0,96501.3,150.715,490.973,184.978,0.902592,52.9676,182.844,858.795
500,3,750,75,0.05,0,90,100000,5362.94,5089,4.47609,1710.57,0,98308.3,151.096,490.973,184.978,0.914546,53.8888,186.024,861.975
500,3,750,75,0.05,0,100,100000,5362.94,5089,4.47609,1742.77,0,99178.7,151.317,490.973,184.978,0.921393,54.5997,188.478,864.429
500,3,750,75,0.05,0,150,100000,5362.94,5089,4.47609,1839.75,0,99962.9,151.995,490.973,184.978,0.940261,55.3105,190.932,866.883
500,3,750,75,0.05,0,200,100000,5362.94,5089,4.47609,1915.4,0,100000,152.424,490.973,184.978,0.946355,55.6237,192.013,867.964
500,3,750,75,0.05,0,300,100000,5362.94,5089,4.47609,2045.95,0,100000,152.717,490.973,184.978,0.945902,56.3094,194.38,870.331
500,3,750,75,0.05,0,500,100000,5362.94,5089,4.47609,2310.38,0,100000,152.36,490.973,184.978,0.931862,56.4954,195.022,870.973
500,3,750,75,0.05,0,800,100000,5362.94,5089,4.47609,2310.38,0,100000,152.36,490.973,184.978,0.931862,56.4864,194.991,870.942
500,3,750,75,0.05,0,1200,100000,5362.94,5089,4.47609,2310.38,0,100000,152.36,490.973,184.978,0.931862,56.7793,196.002,871.953
500,3,100,750,0.05,0,0,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.8169,178.872,846.532
500,3,100,750,0.05,0,10,100000,5362.94,4984,4.47844,237.289,0,89143.3,154.168,492.32,175.34,0.723001,45.1254,155.773,823.433
500,3,100,750,0.05,0,20,100000,5362.94,4984,4.47844,284.943,0,99626.1,157.073,492.32,175.34,0.815565,50.606,174.692,842.352
500,3,100,750,0.05,0,30,100000,5362.94,4984,4.47844,306.72,0,99971.6,157.776,492.32,175.34,0.85524,50.666,174.899,842.559
500,3,100,750,0.05,0,40,100000,5362.94,4984,4.47844,323.535,0,99995.9,158.281,492.32,175.34,0.882237,51.1104,176.433,844.093
500,3,100,750,0.05,0,50,100000,5362.94,4984,4.47844,338.161,0,100000,158.714,492.32,175.34,0.899494,51.2842,177.033,844.693
500,3,100,750,0.05,0,60,100000,5362.94,4984,4.47844,350.815,0,100000,158.792,492.32,175.34,0.90882,51.1078,176.424,844.084
500,3,100,750,0.05,0,70,100000,5362.94,4984,4.47844,361.388,0,100000,158.823,492.32,175.34,0.916575,51.4464,177.593,845.253
500,3,100,750,0.05,0,80,100000,5362.94,4984,4.47844,371.546,0,100000,158.759,492.32,175.34,0.919483,51.4722,177.682,845.342
500,3,100,750,0.05,0,90,100000,5362.94,4984,4.47844,381.027,0,100000,158.689,492.32,175.34,0.920873,51.4658,177.66,845.32
500,3,100,750,0.05,0,100,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.221,176.815,844.475
500,3,100,750,0.05,0,150,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.5391,177.913,845.573
500,3,100,750,0.05,0,200,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.5316,177.887,845.547
500,3,100,750,0.05,0,300,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.1993,176.74,844.4
500,3,100,750,0.05,0,500,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.5313,177.886,845.546
500,3,100,750,0.05,0,800,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.5435,177.928,845.588
500,3,100,750,0.05,0,1200,100000,5362.94,4984,4.47844,389.84,0,100000,158.529,492.32,175.34,0.920438,51.5203,177.848,845.508
1000,3,500,400,0.05,0,0,100000,2681.47,2449,4.75795,1035.24,0,100000,155.036,1734.51,202.367,0.844175,52.8931,182.587,2119.46
1000,3,500,400,0.05,0,10,100000,2681.47,2449,4.75795,269.087,0,56771.4,150.309,1734.51,202.367,0.622954,28.6981,99.066,2035.94
1000,3,500,400,0.05,0,20,100000,2681.47,2449,4.75795,457.857,0,91551.6,156.816,1734.51,202.367,0.772111,46.232,159.593,2096.47
1000,3,500,400,0.05,0,30,100000,2681.47,2449,4.75795,515.291,0,98797,158.2,1734.51,202.367,0.828946,50.1663,173.174,2110.05
1000,3,500,400,0.05,0,40,100000,2681.47,2449,4.75795,540.247,0,99745.4,158.977,1734.51,202.367,0.860995,50.4053,173.999,2110.87
1000,3,500,400,0.05,0,50,100000,2681.47,2449,4.75795,561.332,0,99932.4,159.768,1734.51,202.367,0.880876,50.8957,175.692,2112.57
1000,3,500,400,0.05,0,60,100000,2681.47,2449,4.75795,581.245,0,99980.9,160.076,1734.51,202.367,0.895921,51.5017,177.784,2114.66
1000,3,500,400,0.05,0,70,100000,2681.47,2449,4.75795,598.613,0,99994.7,160.31,1734.51,202.367,0.908618,50.9919,176.024,2112.9
1000,3,500,400,0.05,0,80,100000,2681.47,2449,4.75795,613.813,0,99997.6,160.459,1734.51,202.367,0.917269,51.4606,177.642,2114.52
1000,3,500,400,0.05,0,90,100000,2681.47,2449,4.75795,627.952,0,100000,160.577,1734.51,202.367,0.924067,51.6275,178.218,2115.09
1000,3,500,400,0.05,0,100,100000,2681.47,2449,4.75795,641.423,0,100000,160.893,1734.51,202.367,0.930044,51.3349,177.208,2114.08
1000,3,500,400,0.05,0,150,100000,2681.47,2449,4.75795,695.472,0,100000,161.065,1734.51,202.367,0.940174,51.2309,176.849,2113.72
1000,3,500,400,0.05,0,200,100000,2681.47,2449,4.75795,741.294,0,100000,160.652,1734.51,202.367,0.932894,51.721,178.541,2115.42
1000,3,500,400,0.05,0,300,100000,2681.47,2449,4.75795,824.232,0,100000,156.397,1734.51,202.367,0.866858,51.9574,179.357,2116.23
1000,3,500,400,0.05,0,500,100000,2681.47,2449,4.75795,1035.24,0,100000,155.036,1734.51,202.367,0.844175,52.5379,181.361,2118.24
1000,3,500,400,0.05,0,800,100000,2681.47,2449,4.75795,1035.24,0,100000,155.036,1734.51,202.367,0.844175,52.3864,180.838,2117.71
1000,3,500,400,0.05,0,1200,100000,2681.47,2449,4.75795,1035.24,0,100000,155.036,1734.51,202.367,0.844175,52.3436,180.69,2117.57
1000,3,750,75,0.05,0,0,100000,2681.47,2492,4.75834,2624.83,0.000579374,100000,152.84,1746.78,204.918,0.927709,56.0229,193.391,2145.09
1000,3,750,75,0.05,0,10,100000,2681.47,2492,4.75834,269.988,0,16085.3,125.467,1746.78,204.918,0.420248,8.63239,29.799,1981.5
1000,3,750,75,0.05,0,20,100000,2681.47,2492,4.75834,539.717,0,31585,137.429,1746.78,204.918,0.592788,16.8864,58.292,2009.99
1000,3,750,75,0.05,0,30,100000,2681.47,2492,4.75834,808.487,0,46549.4,142.727,1746.78,204.918,0.699122,24.8946,85.936,2037.63
1000,3,750,75,0.05,0,40,100000,2681.47,2492,4.75834,1073.85,0,61054.7,146.094,1746.78,204.918,0.766761,32.352,111.679,2063.38
1000,3,750,75,0.05,0,50,100000,2681.47,2492,4.75834,1315.26,0.000579374,73779.3,147.955,1746.78,204.918,0.812985,39.611,136.737,2088.43
1000,3,750,75,0.05,0,60,100000,2681.47,2492,4.75834,1509.61,0.000579374,83675.4,149.266,1746.78,204.918,0.846346,44.7856,154.6,2106.3
1000,3,750,75,0.05,0,70,100000,2681.47,2492,4.75834,1649.33,0.000579374,90527.7,149.957,1746.78,204.918,0.868922,48.9412,168.945,2120.64
1000,3,750,75,0.05,0,80,100000,2681.47,2492,4.75834,1743.43,0.000579374,94719.6,150.575,1746.78,204.918,0.885946,51.1196,176.465,2128.16
1000,3,750,75,0.05,0,90,100000,2681.47,2492,4.75834,1806.01,0.000579374,97183.5,151.063,1746.78,204.918,0.897852,52.25,180.367,2132.07
1000,3,750,75,0.05,0,100,100000,2681.47,2492,4.75834,1848.78,0.000579374,98557.1,151.476,1746.78,204.918,0.907875,52.6863,181.873,2133.57
1000,3,750,75,0.05,0,150,100000,2681.47,2492,4.75834,1955.5,0.000289687,99915.1,152.422,1746.78,204.918,0.934448,54.1017,186.759,2138.46
1000,3,750,75,0.05,0,200,100000,2681.47,2492,4.75834,2033.33,0.000289687,99998.6,152.876,1746.78,204.918,0.947329,54.4774,188.056,2139.75
1000,3,750,75,0.05,0,300,100000,2681.47,2492,4.75834,2165.95,0,100000,153.452,1746.78,204.918,0.95461,55.0991,190.202,2141.9
1000,3,750,75,0.05,0,500,100000,2681.47,2492,4.75834,2377.82,0,100000,153.504,1746.78,204.918,0.948402,55.168,190.44,2142.14
1000,3,750,75,0.05,0,800,100000,2681.47,2492,4.75834,2624.83,0.000579374,100000,152.84,1746.78,204.918,0.927709,55.4612,191.452,2143.15
1000,3,750,75,0.05,0,1200,100000,2681.47,2492,4.75834,2624.83,0.000579374,100000,152.84,1746.78,204.918,0.927709,55.4988,191.582,2143.28
1000,3,100,750,0.05,0,0,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.8966,172.243,2096.88
1000,3,100,750,0.05,0,10,100000,2681.47,2458,4.76428,256.391,0,79639.1,152.687,1735.64,188.999,0.671197,39.2115,135.358,2059.99
1000,3,100,750,0.05,0,20,100000,2681.47,2458,4.76428,342.962,0,98634.7,156.556,1735.64,188.999,0.777761,48.1822,166.325,2090.96
1000,3,100,750,0.05,0,30,100000,2681.47,2458,4.76428,371.828,0,99795.6,157.331,1735.64,188.999,0.820633,48.8835,168.746,2093.38
1000,3,100,750,0.05,0,40,100000,2681.47,2458,4.76428,394.767,0,99961.6,158.011,1735.64,188.999,0.847988,49.4647,170.752,2095.39
1000,3,100,750,0.05,0,50,100000,2681.47,2458,4.76428,413.2,0,99989.3,158.459,1735.64,188.999,0.867928,49.2149,169.89,2094.53
1000,3,100,750,0.05,0,60,100000,2681.47,2458,4.76428,429.586,0,99995.5,158.835,1735.64,188.999,0.882306,49.7112,171.603,2096.24
1000,3,100,750,0.05,0,70,100000,2681.47,2458,4.76428,443.332,0,99998.4,158.96,1735.64,188.999,0.891884,50.9256,175.795,2100.43
1000,3,100,750,0.05,0,80,100000,2681.47,2458,4.76428,456.291,0,100000,159.162,1735.64,188.999,0.89987,49.9345,172.374,2097.01
1000,3,100,750,0.05,0,90,100000,2681.47,2458,4.76428,467.932,0,100000,159.255,1735.64,188.999,0.904176,49.6222,171.296,2095.93
1000,3,100,750,0.05,0,100,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.9977,172.592,2097.23
1000,3,100,750,0.05,0,150,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.5913,171.189,2095.82
1000,3,100,750,0.05,0,200,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,50.0771,172.866,2097.5
1000,3,100,750,0.05,0,300,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.5797,171.149,2095.78
1000,3,100,750,0.05,0,500,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,50.0003,172.601,2097.24
1000,3,100,750,0.05,0,800,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.6251,171.306,2095.94
1000,3,100,750,0.05,0,1200,100000,2681.47,2458,4.76428,477.549,0,100000,159.251,1735.64,188.999,0.905683,49.9962,172.587,2097.22
1500,3,500,400,0.05,0,0,100000,1787.65,1611,4.91412,1121.44,0,100000,153.003,3327.64,218.629,0.848531,52.0084,179.533,3725.8
1500,3,500,400,0.05,0,10,100000,1787.65,1611,4.91412,269.511,0,51083.6,147.107,3327.64,218.629,0.59724,25.7468,88.878,3635.14
1500,3,500,400,0.05,0,20,100000,1787.65,1611,4.91412,485.143,0.000289687,87072.6,153.697,3327.64,218.629,0.749315,43.5771,150.428,3696.69
1500,3,500,400,0.05,0,30,100000,1787.65,1611,4.91412,564.937,0.000579374,97618.5,155.618,3327.64,218.629,0.807675,48.8024,168.466,3714.73
1500,3,500,400,0.05,0,40,100000,1787.65,1611,4.91412,598.803,0.000579374,99463,156.618,3327.64,218.629,0.840032,50.4893,174.289,3720.56
1500,3,500,400,0.05,0,50,100000,1787.65,1611,4.91412,622.233,0.000579374,99830.6,156.919,3327.64,218.629,0.860841,50.4647,174.204,3720.47
1500,3,500,400,0.05,0,60,100000,1787.65,1611,4.91412,644.997,0.000289687,99943.6,157.464,3327.64,218.629,0.877227,51.5061,177.799,3724.07
1500,3,500,400,0.05,0,70,100000,1787.65,1611,4.91412,664.983,0,99978.2,157.804,3327.64,218.629,0.890339,53.1747,183.559,3729.83
1500,3,500,400,0.05,0,80,100000,1787.65,1611,4.91412,682.025,0,99989.7,157.994,3327.64,218.629,0.900556,52.2387,180.328,3726.59
1500,3,500,400,0.05,0,90,100000,1787.65,1611,4.91412,699.34,0,99995.1,158.257,3327.64,218.629,0.908647,52.1805,180.127,3726.39
1500,3,500,400,0.05,0,100,100000,1787.65,1611,4.91412,714.69,0,99997.6,158.544,3327.64,218.629,0.916798,52.8453,182.422,3728.69
1500,3,500,400,0.05,0,150,100000,1787.65,1611,4.91412,772.487,0,100000,158.791,3327.64,218.629,0.929959,53.6272,185.121,3731.39
1500,3,500,400,0.05,0,200,100000,1787.65,1611,4.91412,818.089,0,100000,158.457,3327.64,218.629,0.927178,52.1098,179.883,3726.15
